group_id,count,project_bucket,topic_bucket,type_bucket,suggestion,sample_title,ids
G001,71,MoSim/quadrotor,AirSim migration broad,AirSim migration/audit,建议保留归档：MoSim 历史证据，默认不恢复前台,"操作权限仅限 /mnt/c/Users/HP/Desktop/MoSim。只读任务：审计本地已有资源，找真正可编辑、真实物理世界风格的 Unreal 场景候选，禁止推荐栅格/STL/语义方块地图。范围：references/AirSim, references/RflySim, references/Sunray, references/MWORKS, un",019e55f2-41cb-7da0-bc47-73f4061a0066 019e50c7-ecc1-7330-9930-927fe118c7d1 019e50c1-d14f-7b90-b9e8-692ddb14e804 019e5097-adca-7ac1-a16d-ec94a921835f 019e5050-5b45-7e72-b92e-a02997f72610 019e4e06-6ab2-7530-95af-4e176a4cd5d8 019e4dc1-3b94-7580-b300-afddb072b72f 019e4db2-8957-7a83-93f8-67e8c5d42005 019e4da9-2e64-7600-8d2e-7045f5c322d4 019e4da5-b587-7a02-9de1-7e7490253a58 019e4d9a-71e0-72e2-b93a-1e3792613628 019e4d7c-fc7b-7581-86aa-2ba8861dec99 019e4d7b-004b-7531-b8fa-a002ec0693f6 019e4d59-d2a8-7203-9cf1-2ac48eb9b2da 019e4b8f-86bd-7a61-9105-5253a7bf6fbb 019e4b84-6656-74d3-b318-0c6c350cbc4b 019e4b78-eba0-7651-9a05-6afa711188db 019e4b6e-1189-7691-8cb2-868d728c5407 019e4b5d-7471-7b33-8ff9-552e3d01fc1b 019e4b45-c289-78a3-a8ee-736c190c7d11 019e4b45-4451-74d1-8e3c-860c46a936ff 019e4b45-0abd-7ec2-ad06-5f3b2f89d581 019e4b44-d91c-7141-aa18-e8ea275efc89 019e4b44-59f8-72a2-9eac-e8b57eb13a86 019e4b42-fc68-7ab1-8739-4e5672e2cd6a 019e4a0a-0ae8-7c02-9f51-46fd5e95ac32 019e49cf-1b78-7573-b39b-3c83b86d0597 019e49c9-e13e-7952-b48d-438539a69112 019e49b1-3b6e-7c22-8927-4638c060e502 019e4989-f943-7eb0-8a69-c04753a33a81 019e497a-06ea-76b2-9da6-54b1fe76a871 019e4963-cbb0-7521-b90b-f4ff44bdffd7 019e495e-13e6-7800-b991-69a40cfd09cc 019e4959-4dad-70f2-beb4-a6333ff2e4bc 019e494d-4ae4-7af1-bc12-1abd467e5b5c 019e4949-482d-7923-9e30-b56eac2cf6a2 019e4944-3368-7891-99e2-f0df608b8220 019e493f-a5f6-7e42-8bae-9094a6a2b8a2 019e492a-44cf-7273-a138-1102efed7722 019e491a-14d0-7722-a78b-45c544ae8805 019e490f-a56b-7ed1-aa21-0093f8b8ac0d 019e48f0-6698-7f00-9ac9-790640ee2c27 019e48f0-01de-7781-9581-b397816833dc 019e48c8-0d5b-7c92-9232-8a6c03464a66 019e4852-77a2-7ad2-91db-8e1d7b866037 019e483f-ac95-7d41-bf42-6714681ef6f4 019e483f-481d-7472-948d-e6c94f0fcd9d 019e4838-7401-75e3-9a9d-4fa60b9bb880 019e4835-79f8-7d11-af5a-deace4e8a3e9 019e481d-8e54-7670-877a-52472379b85c 019e4817-26f2-7010-bd10-4e30321910ce 019e4811-9cd5-79d3-b149-3ca2ff03d418 019e480c-a1ee-7f92-af1b-bb5f40c7c376 019e4803-83d3-72f3-b311-b594a5defa94 019e47fa-c73f-7602-ba3e-309b98a531c2 019e47e8-2b17-7c73-8313-a925d5e665e2 019e4685-d85f-7193-97ae-8ac140f2554d 019e4685-30cd-7711-930b-f4c62c1b7724 019e4672-cc44-7523-84a7-767240df70c5 019e466f-3592-7351-bf21-5f1ca098106f 019e4643-7f74-7993-a0b7-1def4d6a63ba 019e461f-0af8-7f00-a9a5-7052bfaafe0c 019e4611-254f-77f0-8671-ca7442d5cbcd 019e460d-4383-7e60-bd25-5b4f9d2435f3 019e45fe-da7a-7770-941f-cedba5225590 019e45c2-c90a-7341-991b-e11a1590e181 019e4588-8c76-7ed2-9d61-df66beeb6eaa 019e4587-b51f-7252-b0a5-f4611ec6a8ba 019e457c-de36-7232-9480-0c0d80011d7c 019e4561-9cc3-7553-87ab-e6c856e21fd0 019e3dcd-7d35-7900-ab69-78c25958127b
G002,26,MoSim/quadrotor,Git split/integration,Git/integration,建议保留归档：MoSim 历史证据，默认不恢复前台,你是 MoSim 的 DevOps 发布部。只在 /mnt/c/Users/HP/Desktop/MoSim 内工作，不要访问或修改项目外文件。 任务：做一次 Git 分治提交前审计，验证你能作为长程 Git 部门对话接收任务并返回结果。 要求： 1. 不要执行 git add/commit/push，不要删除文件，不要改文件。先只读审计。 2. 运行并汇总,019e63ae-411c-72b0-afcc-ea0a09f5cff6 019e4efd-8234-7901-a1f5-51b9ab5103a6 019e4ef5-e5cb-7742-bc61-69805cccd0ad 019e4e60-a43a-7103-bc22-062a48004528 019e4dbf-e76a-75c2-86ab-8c0a172cf71a 019e4d91-5018-7280-b90b-974cc95ba74c 019e4a10-0e04-79d0-b40a-1e945b1bb8c9 019e49cc-0c86-7c31-80f0-465e4c52421c 019e4992-b2cb-70a1-a861-60dbc9de7f10 019e4980-c965-7281-95fa-6a8efc15ab37 019e4975-cb26-72a1-af7e-aa44fe4dc76a 019e496b-ea87-79a0-aecd-0705c1b9f42b 019e4918-5fdc-7333-a232-ffadd3036003 019e4886-2412-7673-805d-e2f51368f5b9 019e4860-3000-7b71-950b-df85993f6d22 019e47e7-be6c-7080-ab6d-89f047de9a97 019e466e-c6be-7563-a6a9-642f11616487 019e4657-420f-7ba3-8116-6bb81200773c 019e464f-6614-7032-9c70-40d5572f3f7e 019e461d-4219-7302-b900-c5e36da53e4c 019e45f0-8d33-7233-89f8-c48e7e537adb 019e45d3-50fd-73a3-865e-5ab6b5ea6564 019e45ca-8f98-7ca1-bfc3-4b44e93f48aa 019e45c2-75d7-7420-9e8e-f9ae6f53b8bd 019e4301-918c-7641-9b68-067c9b20e33f 019e3dcd-3dc7-7b12-8dd1-4c2c6a54129a
G003,20,MoSim/quadrotor,UE S0/S1 renderer,UE/Fab/scene/rendering,建议保留归档：MoSim 历史证据，默认不恢复前台,你是 MoSim 场景审核探索子任务。只读，不要改文件，不要提交。工作目录限定 /mnt/c/Users/HP/Desktop/MoSim。目标：检查 References/UnrealScenes 下本地可编辑 UE 项目，并给出下一步人工审核地图排序建议。重点回答：1) 每个项目最可能的主地图 package；2) 哪些不是主地图而是 Packed/组件,019e5c98-737d-7a43-9963-2d50332c23bc 019e557e-957f-7153-8978-4ff6ad52e63e 019e552a-b29d-71f2-b633-234dc0562723 019e5518-869a-76e0-9300-069a100aaf02 019e5505-5eb5-7ef2-81f3-07b0ac363fca 019e540a-a13a-7380-b74c-14ec4af9363c 019e540a-341a-7f43-8b5c-acfa6aa07016 019e53c6-60bb-7ef2-bcc0-03898f7314f9 019e53c5-f9d3-7b03-b10d-e36e621f2bcb 019e53c5-6976-73d1-a9ce-e216140c1568 019e5383-6ddb-79d2-a8b6-bfe67350ab7a 019e5383-1d6f-7e10-9e4c-ec0d8a201588 019e52d6-25a5-7010-ab8b-8e23c0b974bc 019e485f-daca-7fb0-892e-01355e572db4 019e463d-127e-7d52-b687-c9929571d034 019e4628-8d9d-7e00-8c66-a13a0c3b4ee9 019e461b-a62d-7ae2-abee-347f11b8a331 019e4617-3a26-7953-9af2-4d137d1cb445 019e430e-51f2-73a1-bbed-3ebda70dcfab 019e4301-e17b-7b32-831a-58febabae007
G004,19,MoSim/quadrotor,Scene/reference research,UE/Fab/scene/rendering,建议保留归档：MoSim 历史证据，默认不恢复前台,"只读任务：从 RflySim 和云纵/Sunray 资料中提炼真实场景设计参考，不写文件。重点不是复刻方块，而是观察真实世界场景应该有哪些视觉组件：工厂/比赛场/室内/园区/障碍任务。范围：references/RflySim/RflySimAdv3Full, references/Sunray/simulation/sunray_simulator, re",019e55f3-530e-7663-b6f1-dad402b9a79b 019e55f2-d38c-7672-b6f8-a2fa1f6a4d5b 019e55b2-3cc3-7212-bd83-823ee0e93c65 019e5599-4222-7b02-9dbd-a0f98bc23232 019e4a42-2c16-75c2-a8c8-be515b45a95b 019e4a3c-1a58-7990-a578-2d1616d9031d 019e4a2c-28c3-7032-b031-c8959845cccf 019e49ce-bcae-7932-862a-6c02f9e4c20c 019e49cd-8841-76c0-a169-55fa8503cdfe 019e49b9-e017-7253-9b4e-82b2ec7b57da 019e4845-1aea-7d02-8be9-e866c22cae34 019e4803-f063-71c2-badf-da05fff64b15 019e47f3-211a-79f2-9093-e9598dc28122 019e4517-fced-7730-8b71-6da94c23034d 019e44be-f644-7e80-a91f-58133a7a6aa1 019e4164-8bb6-71b0-8db7-b7f9d86f9774 019e4164-2910-7010-a0bc-faee5348c977 019e078b-9fcf-7650-9d05-205ac11d2b41 019e01a6-3930-73e3-a692-066cf92071d2
G005,11,MoSim/quadrotor,Unreal MCP/tools,UE/Fab/scene/rendering,建议保留归档：MoSim 历史证据，默认不恢复前台,任务：只读审核 MoSim 仓库当前 Unreal MCP 目录重构风险，不要修改任何文件。工作目录是 /mnt/c/Users/HP/Desktop/MoSim。请检查：1) Docs/Skills/Unreal/unreal-engine-mcp 是否应作为自研 MCP 根目录；2) Docs/Skills/Unreal/mcp/* 是否是第三方参考；3,019e5de0-5951-7631-a3fe-d91a0037ff8c 019e5d6c-9074-7933-987d-07ff876b75dc 019e5d4b-5cd2-7202-a6b7-b3af306b4a2b 019e5d3d-d9d9-7080-8526-b6ae0010d965 019e5c07-98d5-7f61-a0ca-e78c5940804e 019e5bb0-efe9-7e32-b0f0-7c78d34c8489 019e5b78-76ce-78e3-aaa4-c6858771af1c 019e5ac6-1fe1-7bd1-9029-03ceeb4a9951 019e5aac-d808-70e2-a802-53beebacd1c2 019e5aac-5ec8-7421-a19a-ab2a98850f7a 019e5382-9c8b-7110-8eb1-119563f030ae
G006,10,MoSim/quadrotor,Docs/workflow/skills,Git/integration,建议保留归档：MoSim 历史证据，默认不恢复前台,"You are ExternalDocsLearningOwner Round 2 for /mnt/c/Users/HP/Desktop/MoSim. Read-only. Objective: learn orchestration/WAL/delegation mechanics from official Codex docs, Claude Cod",019e4997-7465-7c91-a454-adecddaeba18 019e4985-7b7f-7430-a79b-2dd25fe777a6 019e493e-8baf-7eb0-af8d-a37723225361 019e4937-ac50-7b70-b738-a8c0cf9b210f 019e492e-f5f0-7482-a7a1-12128193b1e2 019e4907-75fe-73b0-ae9d-8b5dda43ec4f 019e4886-a574-7823-a72b-f29f8a338061 019e4640-7b56-7ab1-a117-6cfd572811df 019e45d0-ac14-7353-a66e-34204c9da007 019e44aa-2cbb-7d51-b873-5e3d0926bcc8
G007,5,MoSim/quadrotor,AirSim low-risk batch,AirSim migration/audit,建议保留归档：MoSim 历史证据，默认不恢复前台,You are a read-only scan sub-agent for AirSimGitBatchOwner-LOWRISK. Do not spawn any child agents. Work only inside /mnt/c/Users/HP/Desktop/MoSim. Scan exactly this directory: refe,019e4b67-60a2-7c00-855a-5bd7abbf739a 019e4b67-5fcc-7b80-b8a5-a842bbb25a08 019e4b67-5f12-7d13-96cc-709bf1102684 019e4b67-5eae-79f1-9825-dc643f425875 019e4b64-88b0-7181-9b44-d6563e76c102
G008,4,MoSim/quadrotor,Docs/workflow/skills,Docs/skills/workflow,建议保留归档：MoSim 历史证据，默认不恢复前台,"在 /mnt/c/Users/HP/Desktop/MoSim 中只读分析 References/Agent 的产品、知识库、桌面/网页应用类项目：AChat-canary, AFFiNE-canary, AionUi, AutoGroq, CowAgent, Mysti, SurfSense, Viper, YC-Killer, agor, ai-data",019e67d4-4e0f-7f43-83f9-8eb70717bfce 019e67d3-e84a-7bf2-a906-396c3e722c20 019e67d3-85ad-7763-bb33-86567a2af9c4 019e44a7-c4a7-7f50-b2f9-715d72978d11
G009,3,MoSim/quadrotor,Docs/workflow/skills,UE/Fab/scene/rendering,建议保留归档：MoSim 历史证据，默认不恢复前台,操作权限仅限 C:\Users\HP\Desktop\Quadrotor。只读调研，不写文件不git。范围：Skills/awesome-codex-skills、Skills/awesome-codex-subagents。目标：检查里面是否有适合本项目的技能/子代理模式，重点是 git质量代理、代码库调研代理、UE/MWORKS/仿真/长任务分治。输出：,019e4589-413a-7df2-a08c-5a1990e44504 019e44d0-aa0e-7712-839e-a3893d69da28 019e42e4-5e23-7820-bf49-eefbc73b09a7
G010,3,MoSim/quadrotor,Git split/integration,UE/Fab/scene/rendering,建议保留归档：MoSim 历史证据，默认不恢复前台,You are GitQualityBatcher. Work only inside /mnt/c/Users/HP/Desktop/MoSim. You are the only write-capable Git/quality agent. Objective: continue Git integration safely while other ,019e493d-f045-76b3-bf85-fd8d1f127b3e 019e4684-cca9-7d60-952b-cdc3671871ff 019e45ff-51fc-73c2-a523-ddfd38ddd2ce
